timestamp,robot,mode,solver,collision_free,n_problems,n_timed,t_med_ms,t_p95_ms,pos_med_mm,pos_p95_mm,rot_med_rad,rot_p95_rad,success_n,success_total,coll_free_n,peak_gpu_pct,avg_gpu_pct,peak_vram_mb
2026-03-29T10:35:39,panda,sequential,HJCD-JAX,False,10,5,54.08037,54.121018,0.229667,29.890387,6.5e-05,0.023098,9,10,,,,
2026-03-29T10:35:39,panda,sequential,HJCD-CUDA,False,10,5,3.338106,3.357838,0.160474,0.799981,4.4e-05,8e-05,10,10,,,,
2026-03-29T10:35:39,panda,sequential,LS-JAX,False,10,5,51.50116,51.563598,0.0,0.0,0.0,0.0,10,10,,,,
2026-03-29T10:35:39,panda,sequential,LS-CUDA,False,10,5,4.294317,4.34686,7.2e-05,0.00016,0.0,0.0,10,10,,,,
2026-03-29T10:35:39,panda,sequential,SQP-JAX,False,10,5,56.571805,56.612757,0.0,0.0,0.0,0.0,10,10,,,,
2026-03-29T10:35:39,panda,sequential,SQP-CUDA,False,10,5,8.962956,9.210244,7.2e-05,0.00012,0.0,0.0,10,10,,,,
2026-03-29T10:35:39,panda,sequential,MPPI-JAX,False,10,5,23.017201,23.154954,0.001353,0.006438,7e-06,6.1e-05,10,10,,,,
2026-03-29T10:35:39,panda,sequential,MPPI-CUDA,False,10,5,1.596097,1.650109,0.015546,0.1339,3.6e-05,0.001298,10,10,,,,
2026-03-29T10:35:39,panda,sequential,Learned-JAX,False,10,5,13.634528,13.68504,0.0,0.0,0.0,0.0,10,10,,,,
2026-03-29T10:35:39,panda,sequential,PyRoKi,False,10,5,145.06915,170.417864,0.0,0.0,0.0,0.0,10,10,,,,
2026-03-29T10:35:39,panda,batch,LS-JAX-BATCH,False,256,5,4.416041,,0.0,0.0,0.0,0.0,256,256,,100.0,98.267148,21079.25
2026-03-29T10:35:39,panda,batch,HJCD-JAX-BATCH,False,256,5,4.118722,,0.142719,1.037436,5.3e-05,0.000357,240,256,,100.0,99.148263,21085.25
2026-03-29T10:35:39,panda,batch,SQP-JAX-BATCH,False,256,5,4.459921,,0.0,0.0,0.0,0.0,256,256,,100.0,99.213419,21093.25
2026-03-29T10:35:39,panda,batch,MPPI-JAX-BATCH,False,256,5,1.237316,,3.1e-05,0.058179,0.0,0.000277,256,256,,100.0,95.401028,21105.25
2026-03-29T10:35:39,panda,batch,LS-CUDA-BATCH,False,256,5,0.02032,,7.9e-05,0.000198,0.0,0.0,252,256,,2.0,2.0,21105.25
2026-03-29T10:35:39,panda,batch,HJCD-CUDA-BATCH,False,256,5,0.017713,,0.139574,1.01305,4.4e-05,0.000189,242,256,,2.0,2.0,21105.25
2026-03-29T10:35:39,panda,batch,SQP-CUDA-BATCH,False,256,5,0.040157,,8e-05,0.000158,0.0,0.0,256,256,,98.0,38.923077,21107.25
2026-03-29T10:35:39,panda,batch,MPPI-CUDA-BATCH,False,256,5,0.008755,,0.00072,0.356609,4e-06,0.001488,253,256,,2.0,2.0,21107.25
2026-03-29T10:35:39,panda,batch,Learned-JAX-BATCH,False,256,5,2.371733,,0.0,0.0,0.0,0.0,256,256,,100.0,97.638554,21117.25
2026-03-29T10:35:39,panda,batch,PyRoKi-BATCH,False,256,5,15.498508,,0.0,0.0,0.0,0.0,256,256,,96.0,86.534884,21119.25
2026-03-29T10:35:39,panda,sequential,HJCD-JAX,True,10,5,77.388279,77.443043,347.784064,767.743992,1.090933,2.172401,0,10,0,,,
2026-03-29T10:35:39,panda,sequential,HJCD-CUDA,True,10,5,17.534409,17.594836,94.991282,494.025079,0.21857,1.780788,0,10,0,,,
2026-03-29T10:35:39,panda,sequential,LS-JAX,True,10,5,84.990475,85.088421,92.666447,451.964978,0.221187,1.276917,0,10,0,,,
2026-03-29T10:35:39,panda,sequential,LS-CUDA,True,10,5,10.965948,11.056314,9.16834,357.607037,0.030977,0.718109,5,10,0,,,
2026-03-29T10:35:39,panda,sequential,SQP-JAX,True,10,5,89.977981,90.090392,86.03905,387.442104,0.202154,1.112308,1,10,0,,,
2026-03-29T10:35:39,panda,sequential,SQP-CUDA,True,10,5,23.093552,23.149168,28.060598,242.635989,0.123397,0.738834,0,10,0,,,
2026-03-29T10:35:39,panda,sequential,MPPI-JAX,True,10,5,36.084981,36.212609,44.347435,136.950777,0.069331,0.598006,0,10,0,,,
2026-03-29T10:35:39,panda,sequential,MPPI-CUDA,True,10,5,14.722264,14.792457,50.694674,243.709391,0.090949,1.313375,0,10,0,,,
2026-03-29T10:35:39,panda,sequential,PyRoKi,True,10,5,384.378527,395.59279,29.890508,102.046208,0.302685,1.168131,0,10,0,,,
2026-03-29T10:35:39,panda,batch,LS-JAX,True,256,5,11.743349,,125.252396,407.519533,0.348994,1.33181,0,256,0,100.0,99.26253,21129.25
2026-03-29T10:35:39,panda,batch,HJCD-JAX,True,256,5,8.903884,,395.867159,884.460281,0.8368,1.99029,0,256,0,100.0,99.048283,21147.25
2026-03-29T10:35:39,panda,batch,SQP-JAX,True,256,5,11.789819,,111.57364,413.158431,0.336187,1.277084,1,256,0,100.0,99.773758,21157.25
2026-03-29T10:35:39,panda,batch,MPPI-JAX,True,256,5,1.917315,,65.17774,239.474834,0.172251,0.667369,5,256,0,100.0,97.039735,21173.25
2026-03-29T10:35:39,panda,batch,LS-CUDA,True,256,5,0.049181,,14.647824,383.038661,0.05143,1.177519,113,256,0,2.0,2.0,21173.25
2026-03-29T10:35:39,panda,batch,HJCD-CUDA,True,256,5,0.332858,,173.394483,887.238537,0.489339,1.996745,0,256,0,100.0,75.5,21183.25
2026-03-29T10:35:39,panda,batch,SQP-CUDA,True,256,5,0.167305,,85.7316,577.389743,0.330589,1.665726,11,256,0,100.0,65.518519,21191.25
2026-03-29T10:35:39,panda,batch,MPPI-CUDA,True,256,5,0.012018,,30.051602,427.69009,0.12778,1.494555,60,256,0,2.0,2.0,21191.25
2026-03-29T10:35:39,panda,batch,PyRoKi,True,256,5,18.18476,,47.370003,202.41652,0.212649,1.671277,5,256,0,97.0,91.074431,21193.25
2026-03-29T11:12:44,fetch,sequential,HJCD-JAX,False,10,5,66.966177,67.045162,0.099429,0.822749,4.9e-05,0.000714,10,10,,,,
2026-03-29T11:12:44,fetch,sequential,HJCD-CUDA,False,10,5,3.993717,4.025285,0.100728,0.949675,5.2e-05,0.000304,9,10,,,,
2026-03-29T11:12:44,fetch,sequential,LS-JAX,False,10,5,62.793275,62.871509,0.0,0.0,0.0,0.0,10,10,,,,
2026-03-29T11:12:44,fetch,sequential,LS-CUDA,False,10,5,5.28835,5.308297,9.5e-05,0.008887,0.0,1.2e-05,10,10,,,,
2026-03-29T11:12:44,fetch,sequential,SQP-JAX,False,10,5,68.296346,68.447466,0.0,0.0,0.0,0.0,10,10,,,,
2026-03-29T11:12:44,fetch,sequential,SQP-CUDA,False,10,5,10.697247,11.001573,0.000128,0.000231,0.0,0.0,10,10,,,,
2026-03-29T11:12:44,fetch,sequential,MPPI-JAX,False,10,5,28.18742,28.281499,0.00038,0.003994,7e-06,2.8e-05,10,10,,,,
2026-03-29T11:12:44,fetch,sequential,MPPI-CUDA,False,10,5,1.795451,1.823018,0.004766,0.150009,3.3e-05,0.000527,10,10,,,,
2026-03-29T11:12:44,fetch,sequential,PyRoKi,False,10,5,178.828623,188.898835,0.0,0.0,0.0,0.0,10,10,,,,
2026-03-29T11:12:44,fetch,batch,LS-JAX-BATCH,False,256,5,6.016472,,0.0,0.0,0.0,0.0,255,256,,100.0,99.194503,21119.25
2026-03-29T11:12:44,fetch,batch,HJCD-JAX-BATCH,False,256,5,5.713756,,0.10084,0.408645,4.7e-05,0.000193,254,256,,100.0,98.88029,21119.25
2026-03-29T11:12:44,fetch,batch,SQP-JAX-BATCH,False,256,5,6.078037,,0.0,0.0,0.0,0.0,256,256,,100.0,99.18786,21119.25
2026-03-29T11:12:44,fetch,batch,MPPI-JAX-BATCH,False,256,5,1.619389,,0.00026,0.01501,2e-06,0.000109,255,256,,100.0,95.231373,21119.25
2026-03-29T11:12:44,fetch,batch,LS-CUDA-BATCH,False,256,5,0.025544,,0.000119,0.000301,0.0,0.0,255,256,,49.0,13.222222,21119.25
2026-03-29T11:12:44,fetch,batch,HJCD-CUDA-BATCH,False,256,5,0.021572,,0.104703,0.452746,4.6e-05,0.000139,253,256,,3.0,3.0,21119.25
2026-03-29T11:12:44,fetch,batch,SQP-CUDA-BATCH,False,256,5,0.049604,,0.000122,0.000279,0.0,0.0,256,256,,3.0,3.0,21119.25
2026-03-29T11:12:44,fetch,batch,MPPI-CUDA-BATCH,False,256,5,0.009892,,0.003774,0.174381,3.2e-05,0.000984,254,256,,3.0,3.0,21119.25
2026-03-29T11:12:44,fetch,batch,PyRoKi-BATCH,False,256,5,17.83602,,0.0,0.0,0.0,0.0,256,256,,96.0,91.545611,21119.25
2026-03-29T11:12:44,fetch,sequential,HJCD-JAX,True,10,5,96.053266,96.11224,93.51584,455.618168,0.516132,0.853837,0,10,0,,,
2026-03-29T11:12:44,fetch,sequential,HJCD-CUDA,True,10,5,21.273808,21.310662,176.826889,546.21321,0.199142,1.820829,0,10,0,,,
2026-03-29T11:12:44,fetch,sequential,LS-JAX,True,10,5,101.402715,101.429883,256.216936,543.406697,1.670613,2.021364,0,10,0,,,
2026-03-29T11:12:44,fetch,sequential,LS-CUDA,True,10,5,14.29273,14.313992,54.40609,121.390218,0.267725,0.695594,0,10,0,,,
2026-03-29T11:12:44,fetch,sequential,SQP-JAX,True,10,5,107.162271,107.190484,251.430718,514.117286,1.036015,1.816221,0,10,0,,,
2026-03-29T11:12:44,fetch,sequential,SQP-CUDA,True,10,5,27.764378,28.020159,34.679689,270.668287,0.064921,0.759353,4,10,0,,,
2026-03-29T11:12:44,fetch,sequential,MPPI-JAX,True,10,5,43.292209,43.342724,23.741309,82.436924,0.097551,0.523583,0,10,0,,,
2026-03-29T11:12:44,fetch,sequential,MPPI-CUDA,True,10,5,17.831781,17.906533,28.999957,271.395671,0.286365,1.216031,1,10,0,,,
2026-03-29T11:12:44,fetch,sequential,PyRoKi,True,10,5,521.714469,575.131939,24.78864,213.875206,0.301465,1.285831,1,10,0,,,
2026-03-29T11:12:44,fetch,batch,LS-JAX,True,256,5,15.996128,,310.246391,578.53586,1.177219,2.146225,0,256,0,100.0,99.594869,21119.25
2026-03-29T11:12:44,fetch,batch,HJCD-JAX,True,256,5,12.295118,,196.761453,593.737968,0.468594,0.85871,0,256,0,100.0,99.371762,21119.25
2026-03-29T11:12:44,fetch,batch,SQP-JAX,True,256,5,16.069671,,296.577843,589.133569,1.053451,2.005691,0,256,0,100.0,99.759556,21119.25
2026-03-29T11:12:44,fetch,batch,MPPI-JAX,True,256,5,2.582548,,18.722075,154.677028,0.097766,0.587874,0,256,0,100.0,99.157248,21119.25
2026-03-29T11:12:44,fetch,batch,LS-CUDA,True,256,5,0.064265,,74.3349,390.232876,0.28307,1.179587,4,256,0,99.0,62.047619,21119.25
2026-03-29T11:12:44,fetch,batch,HJCD-CUDA,True,256,5,0.437322,,100.052952,436.921333,0.244745,1.414488,0,256,0,100.0,89.906475,21119.25
2026-03-29T11:12:44,fetch,batch,SQP-CUDA,True,256,5,0.217907,,1.594403,459.75172,0.005553,1.346209,125,256,0,100.0,83.7,21119.25
2026-03-29T11:12:44,fetch,batch,MPPI-CUDA,True,256,5,0.01405,,5.213363,146.939719,0.030459,0.832994,62,256,0,2.0,2.0,21119.25
2026-03-29T11:12:44,fetch,batch,PyRoKi,True,256,5,38.296089,,10.075109,278.955396,0.123237,1.481718,24,256,0,96.0,83.747801,21121.25
2026-03-29T12:18:32,baxter,sequential,HJCD-JAX,False,10,5,159.543404,159.771187,0.200024,1.319811,6.3e-05,0.000376,8,10,,,,
2026-03-29T12:18:32,baxter,sequential,HJCD-CUDA,False,10,5,11.483104,11.570685,0.194226,1.478505,6.7e-05,0.000563,8,10,,,,
2026-03-29T12:18:32,baxter,sequential,LS-JAX,False,10,5,148.908728,148.970054,0.0,0.0,0.0,0.0,10,10,,,,
2026-03-29T12:18:32,baxter,sequential,LS-CUDA,False,10,5,15.728098,15.805535,0.000149,0.00021,0.0,0.0,10,10,,,,
2026-03-29T12:18:32,baxter,sequential,SQP-JAX,False,10,5,157.49125,157.557485,0.0,0.0,0.0,0.0,10,10,,,,
2026-03-29T12:18:32,baxter,sequential,SQP-CUDA,False,10,5,32.648742,32.741401,0.000128,0.000276,0.0,0.0,10,10,,,,
2026-03-29T12:18:32,baxter,sequential,MPPI-JAX,False,10,5,64.547568,64.576325,0.000191,0.069142,2e-06,0.000329,10,10,,,,
2026-03-29T12:18:32,baxter,sequential,MPPI-CUDA,False,10,5,4.085394,4.097468,0.028864,0.271372,0.00012,0.001143,10,10,,,,
2026-03-29T12:18:32,baxter,sequential,PyRoKi,False,10,5,272.756268,289.954466,0.0,0.0,0.0,0.0,10,10,,,,
2026-03-29T12:18:32,baxter,batch,LS-JAX-BATCH,False,256,5,20.188397,,0.0,0.0,0.0,0.0,255,256,,100.0,99.591239,21131.25
2026-03-29T12:18:32,baxter,batch,HJCD-JAX-BATCH,False,256,5,20.423204,,0.188098,1.614018,6.5e-05,0.000527,225,256,,100.0,99.709456,21131.25
2026-03-29T12:18:32,baxter,batch,SQP-JAX-BATCH,False,256,5,20.351091,,0.0,0.0,0.0,0.0,256,256,,100.0,99.843784,21131.25
2026-03-29T12:18:32,baxter,batch,MPPI-JAX-BATCH,False,256,5,4.921443,,0.000419,0.160862,3e-06,0.000615,256,256,,100.0,98.937984,21131.25
2026-03-29T12:18:32,baxter,batch,LS-CUDA-BATCH,False,256,5,0.079365,,0.000125,0.000309,0.0,0.0,256,256,,99.0,35.76,21131.25
2026-03-29T12:18:32,baxter,batch,HJCD-CUDA-BATCH,False,256,5,0.061534,,0.185112,1.731657,5.9e-05,0.000392,221,256,,99.0,19.95,21131.25
2026-03-29T12:18:32,baxter,batch,SQP-CUDA-BATCH,False,256,5,0.157566,,0.000123,0.000278,0.0,0.0,256,256,,100.0,71.1,21131.25
2026-03-29T12:18:32,baxter,batch,MPPI-CUDA-BATCH,False,256,5,0.021512,,0.007233,0.345556,4.6e-05,0.001644,254,256,,6.0,6.0,21131.25
2026-03-29T12:18:32,baxter,batch,PyRoKi-BATCH,False,256,5,55.488628,,0.0,0.0,0.0,0.0,256,256,,99.0,95.098508,21131.25
2026-03-29T12:18:32,baxter,sequential,HJCD-JAX,True,10,5,223.172042,223.263689,573.664529,1036.041862,1.48469,2.505893,0,10,0,,,
2026-03-29T12:18:32,baxter,sequential,HJCD-CUDA,True,10,5,48.453701,48.540034,241.199632,903.239734,0.834143,1.956112,0,10,0,,,
2026-03-29T12:18:32,baxter,sequential,LS-JAX,True,10,5,227.850143,227.941104,828.544281,1175.569932,1.466274,2.619445,0,10,0,,,
2026-03-29T12:18:32,baxter,sequential,LS-CUDA,True,10,5,38.677024,38.726187,822.433159,1094.278696,1.851978,2.574604,0,10,0,,,
2026-03-29T12:18:32,baxter,sequential,SQP-JAX,True,10,5,236.284147,236.372078,711.67171,1181.51154,2.180834,2.63882,0,10,0,,,
2026-03-29T12:18:32,baxter,sequential,SQP-CUDA,True,10,5,67.970212,68.064865,376.458471,660.114053,0.814047,1.888994,0,10,0,,,
2026-03-29T12:18:32,baxter,sequential,MPPI-JAX,True,10,5,94.231971,94.263946,910.887593,1730.902755,2.407587,2.916483,0,10,0,,,
2026-03-29T12:18:32,baxter,sequential,MPPI-CUDA,True,10,5,37.988004,38.080141,35.52384,826.081661,0.399895,1.675663,1,10,0,,,
2026-03-29T12:18:32,baxter,sequential,PyRoKi,True,10,5,559.520622,583.526808,210.786386,387.896121,1.330564,2.531741,0,10,0,,,
2026-03-29T12:18:32,baxter,batch,LS-JAX,True,256,5,54.344203,,894.082859,1453.966716,2.045085,2.997122,0,256,0,100.0,99.853811,21131.25
2026-03-29T12:18:32,baxter,batch,HJCD-JAX,True,256,5,41.555269,,546.432695,1221.904272,1.472871,2.797768,0,256,0,100.0,99.880451,21131.25
2026-03-29T12:18:32,baxter,batch,SQP-JAX,True,256,5,54.476919,,885.81173,1314.941393,2.192522,3.002799,0,256,0,100.0,99.913803,21131.25
2026-03-29T12:18:32,baxter,batch,MPPI-JAX,True,256,5,9.658796,,924.952481,1669.375774,2.24587,3.012519,0,256,0,100.0,99.522884,21131.25
2026-03-29T12:18:32,baxter,batch,LS-CUDA,True,256,5,0.171784,,750.297979,1357.521774,1.73822,2.959448,1,256,0,99.0,56.727273,21131.25
2026-03-29T12:18:32,baxter,batch,HJCD-CUDA,True,256,5,1.198529,,296.001192,926.269435,0.886697,2.194065,0,256,0,100.0,97.566138,21131.25
2026-03-29T12:18:32,baxter,batch,SQP-CUDA,True,256,5,0.611938,,381.394462,980.550761,1.045964,2.114381,0,256,0,100.0,88.906736,21135.25
2026-03-29T12:18:32,baxter,batch,MPPI-CUDA,True,256,5,0.034568,,19.428142,491.876103,0.16054,1.202782,62,256,0,15.0,12.545455,21137.25
2026-03-29T12:18:32,baxter,batch,PyRoKi,True,256,5,52.429603,,189.797174,582.594473,1.146967,2.94952,0,256,0,100.0,96.387681,21139.25
2026-03-30T23:27:33,panda,sequential,HJCD-JAX,False,10,5,53.941362,54.036913,0.229667,29.890387,6.5e-05,0.023098,9,10,,,,
2026-03-30T23:27:33,panda,sequential,HJCD-CUDA,False,10,5,3.328105,3.393672,0.160474,0.799981,4.4e-05,8e-05,10,10,,,,
2026-03-30T23:27:33,panda,sequential,LS-JAX,False,10,5,51.503705,51.542475,0.0,0.0,0.0,0.0,10,10,,,,
2026-03-30T23:27:33,panda,sequential,LS-CUDA,False,10,5,4.3391,4.379518,7.2e-05,0.00016,0.0,0.0,10,10,,,,
2026-03-30T23:27:33,panda,sequential,SQP-JAX,False,10,5,56.483836,56.552758,0.0,0.0,0.0,0.0,10,10,,,,
2026-03-30T23:27:33,panda,sequential,SQP-CUDA,False,10,5,8.93921,8.972955,7.2e-05,0.00012,0.0,0.0,10,10,,,,
2026-03-30T23:27:33,panda,sequential,MPPI-JAX,False,10,5,23.147889,23.201966,0.001353,0.006438,7e-06,6.1e-05,10,10,,,,
